Part;Value;Device;Package;Description
1284P;ATMEGA1284P-AU;ATMEGA1284P-AU;QFP80P1200X1200X120-44N;Microcontroller
IC;N/A;FT230XS;SSOP16;USB to UART IC
C1;100nF;C-EUC0603;C0603;Capacitor
C2;22pF;C-EUC0603;C0603;Capacitor
C3;22pF;C-EUC0603;C0603;Capacitor
C4;100nF;C-EUC0603;C0603;Capacitor
C5;10uF;C-EUC0805;C0805;Capacitor
C6;47pF;C-EUC0603;C0603;Capacitor
C7;47pF;C-EUC0603;C0603;Capacitor
C8;100nF;C-EUC0603;C0603;Capacitor
C9;100nF;C-EUC0603;C0603;Capacitor
R1;10;R-EU_R0603;R0603;Resistor
R2;10;R-EU_R0603;R0603;Resistor
R3;1K;R-EU_R0603;R0603;Resistor
R4;270;R-EU_R0603;R0603;Resistor
R5;10k;R-EU_R0603;R0603;Resistor
R6;27;R-EU_R0603;R0603;Resistor
R7;27;R-EU_R0603;R0603;Resistor
R9;270;R-EU_R0603;R0603;Resistor
R10;2.2K;R-EU_R0603;R0603;Resistor
RF_RX;N/A;LED_ESML0603;LED_SML0603;LED
RF_TX;N/A;LED_ESML0603;LED_SML0603;LED
RX;N/A;LED_ESML0603;LED_SML0603;LED
TX;N/A;LED_ESML0603;LED_SML0603;LED
U1;TXB0108;TXB0108PWR;TSSOP20;8-Bit Bi-Directional Level Shifter
U2;AP7215-33YG-13;AP7215-33YG-13;SOT89-3L;3.3 volt regulator
XTAL;16MHz;XTAL/S;QS;Crystal Oscillator
USB;N/A;USBMOLEX;USB-MINIB-THM-MOLEX;USB Connectors
JP1;N/A;M02PTH;1X02;Connection point(s)
DTR;N/A;CONN_01;1X01;Connection point(s)
UART;N/A;M04PTH;1X04;Connection point(s)
INAIR_L;N/A;CONN_07;1X07;Connection point(s)
INAIR_R;N/A;CONN_07;1X07;Connection point(s)